device,cfg,layer_type,prec,img,bs,keep_ratio,L_patch,L_eff,avg_power_w,energy_mj,ms_event,status,depth,embed_dim,num_heads,mlp_ratio,complexity_ratio,head_dim,tp_world_size,runs,warmup
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,48,1.000000,144,145,71.270000,121.496764,1.704739,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,192,64,1.000000,144,145,70.744000,59.735554,0.844390,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,192,64,1.000000,144,145,70.615500,166.175557,2.353245,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,192,64,1.000000,144,145,74.430500,159.277935,2.139955,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,1,1.000000,169,170,70.580000,34.742977,0.492250,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,1,1.000000,169,170,64.582500,78.638132,1.217638,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,1,1.000000,169,170,64.245500,41.097384,0.639693,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,8,1.000000,169,170,64.385000,37.896702,0.588595,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,8,1.000000,169,170,64.825000,97.666073,1.506611,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,8,1.000000,169,170,65.166000,40.598106,0.622995,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,16,1.000000,169,170,65.235500,37.890240,0.580822,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,16,1.000000,169,170,65.543500,87.156915,1.329757,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,16,1.000000,169,170,66.015000,55.803272,0.845312,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,24,1.000000,169,170,66.555500,38.301891,0.575488,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,24,1.000000,169,170,66.557000,92.014574,1.382493,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,24,1.000000,169,170,68.334500,74.963712,1.097011,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,32,1.000000,169,170,67.626000,46.050601,0.680960,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,32,1.000000,169,170,67.577000,101.971855,1.508973,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,32,1.000000,169,170,69.555500,96.616484,1.389056,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,48,1.000000,169,170,69.015000,53.879845,0.780698,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,48,1.000000,169,170,69.636500,153.112500,2.198739,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,48,1.000000,169,170,72.629000,136.777258,1.883232,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,208,64,1.000000,169,170,72.150500,64.846098,0.898762,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,208,64,1.000000,169,170,72.201500,198.809427,2.753536,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,208,64,1.000000,169,170,75.242500,180.447406,2.398211,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,1,1.000000,196,197,71.860000,34.576963,0.481171,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,1,1.000000,196,197,65.236000,92.834273,1.423053,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,1,1.000000,196,197,64.565500,43.635741,0.675837,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,8,1.000000,196,197,64.734500,37.247299,0.575386,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,attn,fp16,224,8,1.000000,196,197,65.186000,90.673413,1.390995,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,mlp,fp16,224,8,1.000000,196,197,65.419500,42.666074,0.652192,ok,32,1280,16,4.000000,1.000000,80,4,10,5
RTX4090,vith_gridH_d32_e1280_h16_r4_0,patch_embed,fp16,224,16,1.000000,196,197,65.255000,36.938506,0.566064,ok,32,1280,16,4.000000,1.000000,80,4,10,5
